3 to 3090,,Channel 1,,,,
Date,Time,Voltage (V),Conc. CO2 (ppm),Time Elapsed,Discharge,Mol CO2
6/13/2019,12:29:28 PM,0.5985,5985,1905,,
6/13/2019,12:29:33 PM,0.597,5970,1910,,
6/13/2019,12:29:38 PM,0.5955,5955,1915,,
6/13/2019,12:29:43 PM,0.5955,5955,1920,,
6/13/2019,12:29:48 PM,0.596,5960,1925,,
6/13/2019,12:29:53 PM,0.5965,5965,1930,,
6/13/2019,12:29:58 PM,0.596,5960,1935,,
6/13/2019,12:30:03 PM,0.596,5960,1940,,
6/13/2019,12:30:08 PM,0.5955,5955,1945,,
6/13/2019,12:30:13 PM,0.596,5960,1950,,
6/13/2019,12:30:18 PM,0.596,5960,1955,,
6/13/2019,12:30:23 PM,0.5945,5945,1960,,
6/13/2019,12:30:28 PM,0.592,5920,1965,,
6/13/2019,12:30:33 PM,0.59,5900,1970,,
6/13/2019,12:30:38 PM,0.5865,5865,1975,,
6/13/2019,12:30:43 PM,0.5805,5805,1980,,
6/13/2019,12:30:48 PM,0.573,5730,1985,,
6/13/2019,12:30:53 PM,0.5655,5655,1990,,
6/13/2019,12:30:58 PM,0.5555,5555,1995,,
6/13/2019,12:31:03 PM,0.5415,5415,2000,,
6/13/2019,12:31:08 PM,0.5195,5195,2005,,
6/13/2019,12:31:13 PM,0.488,4880,2010,,
6/13/2019,12:31:18 PM,0.4495,4495,2015,,
6/13/2019,12:31:23 PM,0.4075,4075,2020,,
6/13/2019,12:31:28 PM,0.364,3640,2025,,
6/13/2019,12:31:33 PM,0.3215,3215,2030,,
6/13/2019,12:31:38 PM,0.282,2820,2035,,
6/13/2019,12:31:43 PM,0.247,2470,2040,,
6/13/2019,12:31:48 PM,0.2155,2155,2045,,
6/13/2019,12:31:53 PM,0.189,1890,2050,,
6/13/2019,12:31:58 PM,0.1645,1645,2055,,
6/13/2019,12:32:03 PM,0.1445,1445,2060,,
6/13/2019,12:32:08 PM,0.1275,1275,2065,,
6/13/2019,12:32:13 PM,0.113,1130,2070,,
6/13/2019,12:32:18 PM,0.1005,1005,2075,,
6/13/2019,12:32:23 PM,0.0905,905,2080,,
6/13/2019,12:32:28 PM,0.082,820,2085,,
6/13/2019,12:32:33 PM,0.075,750,2090,,
6/13/2019,12:32:38 PM,0.069,690,2095,,
6/13/2019,12:32:43 PM,0.0645,645,2100,,
6/13/2019,12:32:48 PM,0.0605,605,2105,,
6/13/2019,12:32:53 PM,0.058,580,2110,,
6/13/2019,12:32:58 PM,0.055,550,2115,,
6/13/2019,12:33:03 PM,0.0525,525,2120,,
6/13/2019,12:33:08 PM,0.051,510,2125,,
6/13/2019,12:33:13 PM,0.05,500,2130,,
6/13/2019,12:33:18 PM,0.0485,485,2135,,
6/13/2019,12:33:23 PM,0.0475,475,2140,,
6/13/2019,12:33:28 PM,0.047,470,2145,,
6/13/2019,12:33:33 PM,0.0465,465,2150,,
6/13/2019,12:33:38 PM,0.046,460,2155,,
6/13/2019,12:33:43 PM,0.0455,455,2160,,
6/13/2019,12:33:48 PM,0.0445,445,2165,,
6/13/2019,12:33:53 PM,0.044,440,2170,,
6/13/2019,12:33:58 PM,0.044,440,2175,,
6/13/2019,12:34:03 PM,0.044,440,2180,,
6/13/2019,12:34:08 PM,0.044,440,2185,,
6/13/2019,12:34:13 PM,0.044,440,2190,,
6/13/2019,12:34:18 PM,0.044,440,2195,,
6/13/2019,12:34:23 PM,0.0445,445,2200,,
6/13/2019,12:34:28 PM,0.0445,445,2205,,
6/13/2019,12:34:33 PM,0.045,450,2210,,
6/13/2019,12:34:38 PM,0.0455,455,2215,,
6/13/2019,12:34:43 PM,0.046,460,2220,,
6/13/2019,12:34:48 PM,0.046,460,2225,,
6/13/2019,12:34:53 PM,0.0455,455,2230,,
6/13/2019,12:34:58 PM,0.045,450,2235,,
6/13/2019,12:35:03 PM,0.0455,455,2240,,
6/13/2019,12:35:08 PM,0.0455,455,2245,,
6/13/2019,12:35:13 PM,0.045,450,2250,,
6/13/2019,12:35:18 PM,0.044,440,2255,,
6/13/2019,12:35:23 PM,0.044,440,2260,,
6/13/2019,12:35:28 PM,0.0435,435,2265,,
6/13/2019,12:35:33 PM,0.0435,435,2270,,
6/13/2019,12:35:38 PM,0.044,440,2275,,
6/13/2019,12:35:43 PM,0.044,440,2280,,
6/13/2019,12:35:48 PM,0.044,440,2285,,
6/13/2019,12:35:53 PM,0.0435,435,2290,,
6/13/2019,12:35:58 PM,0.043,430,2295,,
6/13/2019,12:36:03 PM,0.043,430,2300,,
6/13/2019,12:36:08 PM,0.0425,425,2305,,
6/13/2019,12:36:13 PM,0.043,430,2310,,
6/13/2019,12:36:18 PM,0.043,430,2315,,
6/13/2019,12:36:23 PM,0.043,430,2320,,
6/13/2019,12:36:28 PM,0.0435,435,2325,,
6/13/2019,12:36:33 PM,0.0435,435,2330,,
6/13/2019,12:36:38 PM,0.044,440,2335,,
6/13/2019,12:36:43 PM,0.0445,445,2340,,
6/13/2019,12:36:48 PM,0.044,440,2345,,
6/13/2019,12:36:53 PM,0.0445,445,2350,,
