Date,Time,Voltage (V)
6/13/2019,11:53:41 AM,0.6285
6/13/2019,11:53:46 AM,0.628
6/13/2019,11:53:51 AM,0.626
6/13/2019,11:53:56 AM,0.6245
6/13/2019,11:54:01 AM,0.6245
6/13/2019,11:54:06 AM,0.625
6/13/2019,11:54:11 AM,0.6255
6/13/2019,11:54:16 AM,0.626
6/13/2019,11:54:21 AM,0.626
6/13/2019,11:54:26 AM,0.6265
6/13/2019,11:54:31 AM,0.628
6/13/2019,11:54:36 AM,0.63
6/13/2019,11:54:41 AM,0.6305
6/13/2019,11:54:46 AM,0.6295
6/13/2019,11:54:51 AM,0.629
6/13/2019,11:54:56 AM,0.628
6/13/2019,11:55:01 AM,0.627
6/13/2019,11:55:06 AM,0.625
6/13/2019,11:55:11 AM,0.625
6/13/2019,11:55:16 AM,0.6265
6/13/2019,11:55:21 AM,0.627
6/13/2019,11:55:26 AM,0.6265
6/13/2019,11:55:31 AM,0.6265
6/13/2019,11:55:36 AM,0.627
6/13/2019,11:55:41 AM,0.6275
6/13/2019,11:55:46 AM,0.628
6/13/2019,11:55:51 AM,0.6275
6/13/2019,11:55:56 AM,0.627
6/13/2019,11:56:01 AM,0.626
6/13/2019,11:56:06 AM,0.626
6/13/2019,11:56:11 AM,0.6265
6/13/2019,11:56:16 AM,0.6275
6/13/2019,11:56:21 AM,0.629
6/13/2019,11:56:26 AM,0.6315
6/13/2019,11:56:31 AM,0.632
6/13/2019,11:56:36 AM,0.6315
6/13/2019,11:56:41 AM,0.6305
6/13/2019,11:56:46 AM,0.629
6/13/2019,11:56:51 AM,0.628
6/13/2019,11:56:56 AM,0.6275
6/13/2019,11:57:01 AM,0.6275
6/13/2019,11:57:06 AM,0.626
6/13/2019,11:57:11 AM,0.6245
6/13/2019,11:57:16 AM,0.623
6/13/2019,11:57:21 AM,0.622
6/13/2019,11:57:26 AM,0.623
6/13/2019,11:57:31 AM,0.624
6/13/2019,11:57:36 AM,0.625
6/13/2019,11:57:41 AM,0.626
6/13/2019,11:57:46 AM,0.6255
6/13/2019,11:57:51 AM,0.624
6/13/2019,11:57:56 AM,0.6235
6/13/2019,11:58:01 AM,0.624
6/13/2019,11:58:06 AM,0.6255
6/13/2019,11:58:11 AM,0.6265
6/13/2019,11:58:16 AM,0.628
6/13/2019,11:58:21 AM,0.6275
