"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °F (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
191,07/17/19 12:30:00 PM,7.0,46.63,,,,,
192,07/17/19 12:45:00 PM,7.0,46.85,,,,,
193,07/17/19 01:00:00 PM,7.0,47.16,,,,,
194,07/17/19 01:15:00 PM,7.8,47.43,,,,,
195,07/17/19 01:30:00 PM,7.0,47.68,,,,,
196,07/17/19 01:45:00 PM,7.0,47.80,,,,,
197,07/17/19 02:00:00 PM,7.0,48.04,,,,,
198,07/17/19 02:15:00 PM,7.0,48.20,,,,,
199,07/17/19 02:30:00 PM,7.8,48.58,,,,,
200,07/17/19 02:45:00 PM,7.0,48.87,,,,,
201,07/17/19 03:00:00 PM,7.0,48.74,,,,,
202,07/17/19 03:15:00 PM,7.0,48.81,,,,,
203,07/17/19 03:30:00 PM,7.7,49.53,,,,,
204,07/17/19 03:45:00 PM,7.0,49.64,,,,,
205,07/17/19 04:00:00 PM,7.0,49.75,,,,,
206,07/17/19 04:15:00 PM,7.0,49.55,,,,,
207,07/17/19 04:30:00 PM,7.0,49.33,,,,,
208,07/17/19 04:45:00 PM,7.0,49.15,,,,,
209,07/17/19 05:00:00 PM,7.0,48.94,,,,,
210,07/17/19 05:15:00 PM,7.0,48.67,,,,,
211,07/17/19 05:30:00 PM,7.0,48.47,,,,,
212,07/17/19 05:45:00 PM,7.0,48.25,,,,,
213,07/17/19 06:00:00 PM,7.0,47.98,,,,,
214,07/17/19 06:15:00 PM,7.0,47.70,,,,,
215,07/17/19 06:30:00 PM,7.0,47.32,,,,,
216,07/17/19 06:45:00 PM,7.0,47.05,,,,,
217,07/17/19 07:00:00 PM,7.8,46.80,,,,,
218,07/17/19 07:15:00 PM,7.0,46.56,,,,,
219,07/17/19 07:30:00 PM,7.0,46.29,,,,,
220,07/17/19 07:45:00 PM,7.0,46.04,,,,,
221,07/17/19 08:00:00 PM,7.0,45.86,,,,,
222,07/17/19 08:15:00 PM,7.0,45.64,,,,,
223,07/17/19 08:30:00 PM,7.0,45.45,,,,,
224,07/17/19 08:45:00 PM,7.0,45.27,,,,,
225,07/17/19 09:00:00 PM,7.0,45.10,,,,,
226,07/17/19 09:15:00 PM,7.8,44.91,,,,,
227,07/17/19 09:30:00 PM,7.0,44.80,,,,,
228,07/17/19 09:45:00 PM,7.8,44.60,,,,,
229,07/17/19 10:00:00 PM,7.8,44.49,,,,,
230,07/17/19 10:15:00 PM,7.0,44.35,,,,,
231,07/17/19 10:30:00 PM,7.0,44.20,,,,,
232,07/17/19 10:45:00 PM,7.8,44.10,,,,,
233,07/17/19 11:00:00 PM,7.8,43.99,,,,,
234,07/17/19 11:15:00 PM,7.0,43.86,,,,,
235,07/17/19 11:30:00 PM,7.8,43.77,,,,,
236,07/17/19 11:45:00 PM,7.0,43.63,,,,,
237,07/18/19 12:00:00 AM,7.8,43.54,,,,,
238,07/18/19 12:15:00 AM,7.0,43.45,,,,,
239,07/18/19 12:30:00 AM,7.0,43.30,,,,,
240,07/18/19 12:45:00 AM,7.8,43.16,,,,,
241,07/18/19 01:00:00 AM,7.8,43.07,,,,,
242,07/18/19 01:15:00 AM,7.8,42.96,,,,,
243,07/18/19 01:30:00 AM,7.8,42.85,,,,,
244,07/18/19 01:45:00 AM,7.8,42.75,,,,,
245,07/18/19 02:00:00 AM,7.0,42.66,,,,,
246,07/18/19 02:15:00 AM,7.8,42.57,,,,,
247,07/18/19 02:30:00 AM,7.8,42.48,,,,,
248,07/18/19 02:45:00 AM,7.8,42.42,,,,,
249,07/18/19 03:00:00 AM,7.0,42.35,,,,,
250,07/18/19 03:15:00 AM,7.8,42.30,,,,,
251,07/18/19 03:30:00 AM,7.8,42.24,,,,,
252,07/18/19 03:45:00 AM,7.8,42.21,,,,,
253,07/18/19 04:00:00 AM,7.8,42.13,,,,,
254,07/18/19 04:15:00 AM,7.8,42.10,,,,,
255,07/18/19 04:30:00 AM,7.8,42.03,,,,,
256,07/18/19 04:45:00 AM,7.8,41.97,,,,,
257,07/18/19 05:00:00 AM,7.8,41.95,,,,,
258,07/18/19 05:15:00 AM,7.8,41.90,,,,,
259,07/18/19 05:30:00 AM,7.0,41.88,,,,,
260,07/18/19 05:45:00 AM,7.8,41.83,,,,,
261,07/18/19 06:00:00 AM,7.8,41.79,,,,,
262,07/18/19 06:15:00 AM,7.0,41.76,,,,,
263,07/18/19 06:30:00 AM,7.8,41.72,,,,,
