"","ele","time","magvar","geoidheight","name","cmt","desc","src","link1_href","link1_text","link1_type","link2_href","link2_text","link2_type","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","geometry"
"63",3719.514893,"2019/07/06 18:51:47+00",NA,NA,"053",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.234419, -0.305321)
"64",3713.076172,"2019/07/06 18:52:02+00",NA,NA,"054",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.236768, -0.304208)
"65",3645.218994,"2019/07/06 18:53:04+00",NA,NA,"055",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.245889, -0.29638)
"66",3625.340332,"2019/07/06 18:53:25+00",NA,NA,"056",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.248023, -0.292925)
"67",3620.765625,"2019/07/06 18:53:30+00",NA,NA,"057",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.248677, -0.292083)
"68",3614.133301,"2019/07/06 18:53:38+00",NA,NA,"058",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.249571, -0.290884)
"69",3596.090576,"2019/07/06 18:53:56+00",NA,NA,"059",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.251177, -0.287659)
"70",3544.186768,"2019/07/06 18:55:06+00",NA,NA,"060",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.257353, -0.275501)
"71",3537.065918,"2019/07/06 18:55:15+00",NA,NA,"061",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.257568, -0.273855)
"72",3535.622803,"2019/07/06 18:55:44+00",NA,NA,"062",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.255992, -0.26988)
