Date,Time,Volts
6/18/2019,11:18:47 AM,0.715
6/18/2019,11:18:52 AM,0.715
6/18/2019,11:18:57 AM,0.7145
6/18/2019,11:19:02 AM,0.7145
6/18/2019,11:19:07 AM,0.714
6/18/2019,11:19:12 AM,0.7145
6/18/2019,11:19:17 AM,0.716
6/18/2019,11:19:22 AM,0.716
6/18/2019,11:19:27 AM,0.715
6/18/2019,11:19:32 AM,0.715
6/18/2019,11:19:37 AM,0.716
6/18/2019,11:19:42 AM,0.7165
6/18/2019,11:19:47 AM,0.7165
6/18/2019,11:19:52 AM,0.718
6/18/2019,11:19:57 AM,0.719
6/18/2019,11:20:02 AM,0.719
6/18/2019,11:20:07 AM,0.719
6/18/2019,11:20:12 AM,0.719
6/18/2019,11:20:17 AM,0.719
6/18/2019,11:20:22 AM,0.718
6/18/2019,11:20:27 AM,0.718
6/18/2019,11:20:32 AM,0.718
6/18/2019,11:20:37 AM,0.7185
6/18/2019,11:20:42 AM,0.718
6/18/2019,11:20:47 AM,0.7175
6/18/2019,11:20:52 AM,0.716
6/18/2019,11:20:57 AM,0.716
6/18/2019,11:21:02 AM,0.7175
6/18/2019,11:21:07 AM,0.7185
6/18/2019,11:21:12 AM,0.719
6/18/2019,11:21:17 AM,0.718
6/18/2019,11:21:22 AM,0.7175
6/18/2019,11:21:27 AM,0.717
6/18/2019,11:21:32 AM,0.7155
6/18/2019,11:21:37 AM,0.7145
6/18/2019,11:21:42 AM,0.7155
6/18/2019,11:21:47 AM,0.7165
6/18/2019,11:21:52 AM,0.7165
6/18/2019,11:21:57 AM,0.717
6/18/2019,11:22:02 AM,0.7185
6/18/2019,11:22:07 AM,0.72
6/18/2019,11:22:12 AM,0.7195
6/18/2019,11:22:17 AM,0.721
6/18/2019,11:22:22 AM,0.721
6/18/2019,11:22:27 AM,0.7205
6/18/2019,11:22:32 AM,0.72
6/18/2019,11:22:37 AM,0.7225
6/18/2019,11:22:42 AM,0.7245
6/18/2019,11:22:47 AM,0.725
6/18/2019,11:22:52 AM,0.7245
6/18/2019,11:22:57 AM,0.7245
6/18/2019,11:23:02 AM,0.724
6/18/2019,11:23:07 AM,0.7225
6/18/2019,11:23:12 AM,0.7215
6/18/2019,11:23:17 AM,0.7205
6/18/2019,11:23:22 AM,0.7205
6/18/2019,11:23:27 AM,0.722
6/18/2019,11:23:32 AM,0.72
6/18/2019,11:23:37 AM,0.708
6/18/2019,11:23:42 AM,0.031
6/18/2019,11:23:47 AM,0.031
6/18/2019,11:23:52 AM,0.031
6/18/2019,11:23:57 AM,0.226
6/18/2019,11:24:02 AM,0.225
6/18/2019,11:24:07 AM,0.2205
6/18/2019,11:24:12 AM,0.2105
6/18/2019,11:24:17 AM,0.1955
6/18/2019,11:24:22 AM,0.179
6/18/2019,11:24:27 AM,0.1625
6/18/2019,11:24:32 AM,0.1495
6/18/2019,11:24:37 AM,0.141
6/18/2019,11:24:42 AM,0.1365
6/18/2019,11:24:47 AM,0.135
6/18/2019,11:24:52 AM,0.137
6/18/2019,11:24:57 AM,0.1395
6/18/2019,11:25:02 AM,0.144
6/18/2019,11:25:07 AM,0.149
6/18/2019,11:25:12 AM,0.154
6/18/2019,11:25:17 AM,0.159
6/18/2019,11:25:22 AM,0.1645
6/18/2019,11:25:27 AM,0.1695
6/18/2019,11:25:32 AM,0.175
6/18/2019,11:25:37 AM,0.18
6/18/2019,11:25:42 AM,0.1855
6/18/2019,11:25:47 AM,0.19
6/18/2019,11:25:52 AM,0.194
6/18/2019,11:25:57 AM,0.199
6/18/2019,11:26:02 AM,0.203
6/18/2019,11:26:07 AM,0.2075
6/18/2019,11:26:12 AM,0.2125
6/18/2019,11:26:17 AM,0.218
6/18/2019,11:26:22 AM,0.2235
6/18/2019,11:26:27 AM,0.2285
6/18/2019,11:26:32 AM,0.2325
6/18/2019,11:26:37 AM,0.237
6/18/2019,11:26:42 AM,0.242
6/18/2019,11:26:47 AM,0.246
6/18/2019,11:26:52 AM,0.2495
