"","DateTime","Inj","V1","V2","V3","V4","V4_adjusted"
"174",2019-07-11 02:00:00,"No",2410,2415,1787.5,1780.27353426825,1780.27353426825
"175",2019-07-11 02:05:00,"No",NA,NA,NA,NA,NA
"176",2019-07-11 02:10:00,"No",NA,NA,NA,NA,NA
"177",2019-07-11 02:15:00,"No",2455,2395,1767.5,1748.30162348965,1748.30162348965
"178",2019-07-11 02:20:00,"No",NA,NA,NA,NA,NA
"179",2019-07-11 02:25:00,"No",NA,NA,NA,NA,NA
"180",2019-07-11 02:30:00,"No",2445,2395,1762.5,1748.30162348965,1748.30162348965
"181",2019-07-11 02:35:00,"No",NA,NA,NA,NA,NA
"182",2019-07-11 02:40:00,"No",NA,NA,NA,NA,NA
"183",2019-07-11 02:45:00,"No",2470,2450,1762.5,1780.27353426825,1780.27353426825
"184",2019-07-11 02:50:00,"No",NA,NA,NA,NA,NA
"185",2019-07-11 02:55:00,"No",NA,NA,NA,NA,NA
"186",2019-07-11 03:00:00,"No",2485,2410,1817.5,1796.25948965756,1796.25948965756
"187",2019-07-11 03:05:00,"No",NA,NA,NA,NA,NA
"188",2019-07-11 03:10:00,"No",NA,NA,NA,NA,NA
"189",2019-07-11 03:15:00,"No",2490,2430,1772.5,1812.24544504686,1812.24544504686
"190",2019-07-11 03:20:00,"No",NA,NA,NA,NA,NA
"191",2019-07-11 03:25:00,"No",NA,NA,NA,NA,NA
"192",2019-07-11 03:30:00,"No",2495,2430,1792.5,1764.28757887895,1764.28757887895
"193",2019-07-11 03:35:00,"No",NA,NA,NA,NA,NA
"194",2019-07-11 03:40:00,"No",NA,NA,NA,NA,NA
"195",2019-07-11 03:45:00,"No",2495,2435,1802.5,1780.27353426825,1780.27353426825
"196",2019-07-11 03:50:00,"No",NA,NA,NA,NA,NA
"197",2019-07-11 03:55:00,"No",NA,NA,NA,NA,NA
"198",2019-07-11 04:00:00,"No",2510,2460,1847.5,1796.25948965756,1796.25948965756
