"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
212,07/15/19 11:32:52 AM,7.4,5.46,,,,,
213,07/15/19 11:32:53 AM,7.4,5.46,,,,,
214,07/15/19 11:32:54 AM,6.7,5.47,,,,,
215,07/15/19 11:32:55 AM,7.4,5.46,,,,,
216,07/15/19 11:32:56 AM,7.4,5.46,,,,,
217,07/15/19 11:32:57 AM,7.4,5.47,,,,,
218,07/15/19 11:32:58 AM,7.4,5.46,,,,,
219,07/15/19 11:32:59 AM,7.4,5.46,,,,,
220,07/15/19 11:33:00 AM,7.4,5.46,,,,,
221,07/15/19 11:33:01 AM,7.4,5.46,,,,,
222,07/15/19 11:33:02 AM,6.7,5.46,,,,,
223,07/15/19 11:33:03 AM,7.4,5.46,,,,,
224,07/15/19 11:33:04 AM,7.4,5.47,,,,,
225,07/15/19 11:33:05 AM,6.7,5.47,,,,,
226,07/15/19 11:33:06 AM,7.4,5.46,,,,,
227,07/15/19 11:33:07 AM,7.4,5.46,,,,,
228,07/15/19 11:33:08 AM,7.0,5.45,,,,,
229,07/15/19 11:33:09 AM,7.4,5.45,,,,,
230,07/15/19 11:33:10 AM,7.4,5.46,,,,,
231,07/15/19 11:33:11 AM,7.4,5.45,,,,,
232,07/15/19 11:33:12 AM,7.4,5.46,,,,,
233,07/15/19 11:33:13 AM,7.4,5.45,,,,,
234,07/15/19 11:33:14 AM,7.4,5.46,,,,,
235,07/15/19 11:33:15 AM,6.7,5.46,,,,,
236,07/15/19 11:33:16 AM,7.4,5.47,,,,,
237,07/15/19 11:33:17 AM,7.4,5.47,,,,,
238,07/15/19 11:33:18 AM,7.4,5.47,,,,,
239,07/15/19 11:33:19 AM,7.8,5.46,,,,,
240,07/15/19 11:33:20 AM,7.8,5.46,,,,,
241,07/15/19 11:33:21 AM,7.4,5.46,,,,,
242,07/15/19 11:33:22 AM,7.0,5.46,,,,,
243,07/15/19 11:33:23 AM,7.4,5.46,,,,,
244,07/15/19 11:33:24 AM,6.7,5.46,,,,,
245,07/15/19 11:33:25 AM,6.7,5.46,,,,,
246,07/15/19 11:33:26 AM,7.4,5.45,,,,,
247,07/15/19 11:33:27 AM,7.4,5.47,,,,,
248,07/15/19 11:33:28 AM,7.4,5.46,,,,,
249,07/15/19 11:33:29 AM,6.7,5.46,,,,,
250,07/15/19 11:33:30 AM,7.4,5.46,,,,,
251,07/15/19 11:33:31 AM,6.7,5.47,,,,,
252,07/15/19 11:33:32 AM,7.4,5.46,,,,,
253,07/15/19 11:33:33 AM,7.4,5.46,,,,,
254,07/15/19 11:33:34 AM,7.4,5.46,,,,,
255,07/15/19 11:33:35 AM,7.4,5.46,,,,,
256,07/15/19 11:33:36 AM,7.4,5.45,,,,,
257,07/15/19 11:33:37 AM,7.4,5.46,,,,,
258,07/15/19 11:33:38 AM,7.4,5.47,,,,,
259,07/15/19 11:33:39 AM,7.4,5.47,,,,,
260,07/15/19 11:33:40 AM,7.4,5.47,,,,,
261,07/15/19 11:33:41 AM,7.4,5.46,,,,,
