Plot Title: EC1								
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636125, SEN S/N: 20636125)"	"Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)"	"Specific Conductance, ?S/cm (LGR S/N: 20636125)"	Coupler Detached (LGR S/N: 20636125)	Coupler Attached (LGR S/N: 20636125)	Host Connected (LGR S/N: 20636125)	End Of File (LGR S/N: 20636125)
353	7/20/2019 2:45	7	6.04	11.2				
354	7/20/2019 3:00	7	6	11.2				
355	7/20/2019 3:15	7	5.97	11.2				
356	7/20/2019 3:30	7	5.91	11.2				
357	7/20/2019 3:45	7.7	5.86	12.3				
358	7/20/2019 4:00	7	5.81	11.2				
359	7/20/2019 4:15	7	5.75	11.3				
360	7/20/2019 4:30	7.7	5.71	12.4				
361	7/20/2019 4:45	7	5.69	11.3				
362	7/20/2019 5:00	7.7	5.63	12.4				
363	7/20/2019 5:15	7	5.58	11.3				
364	7/20/2019 5:30	7.7	5.55	12.5				
365	7/20/2019 5:45	7	5.5	11.3				
366	7/20/2019 6:00	7	5.41	11.4				
367	7/20/2019 6:15	7	5.37	11.4				
368	7/20/2019 6:30	7	5.29	11.4				
369	7/20/2019 6:45	7	5.28	11.4				
370	7/20/2019 7:00	7.7	5.28	12.6				
371	7/20/2019 7:15	7	5.3	11.4				
372	7/20/2019 7:30	7	5.3	11.4				
373	7/20/2019 7:45	7	5.33	11.4				
374	7/20/2019 8:00	7	5.34	11.4				
375	7/20/2019 8:15	7	5.38	11.4				
376	7/20/2019 8:30	7	5.5	11.3				
377	7/20/2019 8:45	7	5.61	11.3				
378	7/20/2019 9:00	7	5.7	11.3				
379	7/20/2019 9:15	7	5.77	11.3				
380	7/20/2019 9:30	7	5.86	11.2				
381	7/20/2019 9:45	7	5.95	11.2				
382	7/20/2019 10:00	7	6.08	11.2				
383	7/20/2019 10:15	7	6.2	11.1				
384	7/20/2019 10:30	7	6.35	11.1				
385	7/20/2019 10:45	7	6.47	11				
386	7/20/2019 11:00	7	6.63	11				
387	7/20/2019 11:15	7	6.87	10.9				
388	7/20/2019 11:30	7	7.1	10.8				
389	7/20/2019 11:45	7	7.33	10.8				
390	7/20/2019 12:00	7	7.5	10.7				
391	7/20/2019 12:15	7	7.7	10.6				
392	7/20/2019 12:30	7	7.87	10.6				
393	7/20/2019 12:45	6.6	7.99	10				
394	7/20/2019 13:00	7	8.11	10.5				
395	7/20/2019 13:15	6.6	8.22	9.9				
396	7/20/2019 13:30	7.3	8.35	10.9				
397	7/20/2019 13:45	6.6	8.52	9.8				
398	7/20/2019 14:00	7.3	8.56	10.8				
399	7/20/2019 14:15	7.3	8.63	10.8				
400	7/20/2019 14:30	7	8.73	10.3				
401	7/20/2019 14:45	6.6	8.89	9.7				
402	7/20/2019 15:00	6.6	8.91	9.7				
403	7/20/2019 15:15	6.6	8.91	9.7				
404	7/20/2019 15:30	6.6	8.91	9.7				
405	7/20/2019 15:45	6.6	8.91	9.7				
406	7/20/2019 16:00	7.3	8.88	10.7				
407	7/20/2019 16:15	6.6	8.84	9.7				
408	7/20/2019 16:30	6.6	8.8	9.7				
409	7/20/2019 16:45	6.6	8.71	9.8				
410	7/20/2019 17:00	6.6	8.56	9.8				
411	7/20/2019 17:15	6.6	8.51	9.8				
412	7/20/2019 17:30	6.6	8.42	9.8				
413	7/20/2019 17:45	6.6	8.3	9.9				
414	7/20/2019 18:00	6.6	8.19	9.9				
415	7/20/2019 18:15	6.6	8.04	9.9				
416	7/20/2019 18:30	6.6	7.91	10				
417	7/20/2019 18:45	6.6	7.75	10				
418	7/20/2019 19:00	7.3	7.63	11.1				
419	7/20/2019 19:15	6.6	7.53	10.1				
420	7/20/2019 19:30	7.3	7.41	11.2				
421	7/20/2019 19:45	6.6	7.33	10.1				
422	7/20/2019 20:00	6.6	7.22	10.2				
423	7/20/2019 20:15	6.6	7.14	10.2				
424	7/20/2019 20:30	7.4	7.05	11.5				
425	7/20/2019 20:45	7	6.98	10.9				
426	7/20/2019 21:00	7	6.92	10.9				
427	7/20/2019 21:15	6.6	6.83	10.3				
428	7/20/2019 21:30	7	6.77	10.9				
429	7/20/2019 21:45	7	6.71	11				
430	7/20/2019 22:00	7	6.67	11				
431	7/20/2019 22:15	7	6.59	11				
432	7/20/2019 22:30	7	6.53	11				
433	7/20/2019 22:45	7	6.47	11				
434	7/20/2019 23:00	7	6.43	11				
435	7/20/2019 23:15	7	6.36	11.1				
436	7/20/2019 23:30	6.6	6.31	10.4				
437	7/20/2019 23:45	7	6.24	11.1				
438	7/21/2019 0:00	7	6.2	11.1				
439	7/21/2019 0:15	7	6.15	11.1				
440	7/21/2019 0:30	7	6.08	11.2				
441	7/21/2019 0:45	6.6	6.04	10.5				
442	7/21/2019 1:00	7	6	11.2				
443	7/21/2019 1:15	7	5.95	11.2				
444	7/21/2019 1:30	7	5.91	11.2				
445	7/21/2019 1:45	7	5.89	11.2				
446	7/21/2019 2:00	7	5.87	11.2				
447	7/21/2019 2:15	7	5.83	11.2				
448	7/21/2019 2:30	7	5.79	11.2				
449	7/21/2019 2:45	7	5.77	11.3				
450	7/21/2019 3:00	7	5.74	11.3				
451	7/21/2019 3:15	7	5.7	11.3				
452	7/21/2019 3:30	7	5.67	11.3				
453	7/21/2019 3:45	7	5.65	11.3				
454	7/21/2019 4:00	7	5.61	11.3				
455	7/21/2019 4:15	7	5.57	11.3				
456	7/21/2019 4:30	7	5.53	11.3				
457	7/21/2019 4:45	7	5.5	11.3				
458	7/21/2019 5:00	7	5.47	11.3				
459	7/21/2019 5:15	7	5.45	11.4				
460	7/21/2019 5:30	7	5.44	11.4				
